82,									-73.75527367079012,45.50647448895161,0 -73.7513725957932,45.50365378355598,0 -73.75706957097445,45.50010411212791,0 -73.75873963145655,45.50053116930727,0 -73.761115119542,45.49885464119813,0 -73.7609759514646,45.49807907043995,0 -73.76275809314033,45.49655291585193,0 -73.76634116002717,45.49854914492378,0 -73.76913800562384,45.49759908596226,0 -73.77241288638381,45.49921588340656,0 -73.77373153043969,45.49865052995732,0 -73.77717043907443,45.49989678477043,0 -73.78253418684693,45.49752055639287,0 -73.78217356325972,45.49727960037921,0 -73.78275954705536,45.49630469082604,0 -73.78032090874974,45.49496292461352,0 -73.77907677794148,45.49429878537414,0 -73.77825176213879,45.49354047473849,0 -73.77630588623678,45.49215467000268,0 -73.77463282417861,45.49225648793326,0 -73.77407935354137,45.49174814398628,0 -73.76907230007151,45.49179716328364,0 -73.76800861272265,45.49316483316112,0 -73.76485201578386,45.49207377670863,0 -73.76662000853598,45.48945504927123,0 -73.76641425531069,45.48777216619184,0 -73.76759767391873,45.48547753497509,0 -73.76969886009911,45.48391492375249,0 -73.76841181312383,45.47999012924549,0 -73.76757848109865,45.47905536504537,0 -73.76620927435083,45.47835247575114,0 -73.76334987301506,45.47679248516278,0 -73.73557470503856,45.47232355367982,0 -73.72340994806386,45.48197629947565,0 -73.71507612771916,45.4780125087168,0 -73.71300538524224,45.47701400209757,0 -73.71163688891473,45.47588208735804,0 -73.70986412096993,45.47481802203015,0 -73.70829340973322,45.47366565162879,0 -73.69490353831941,45.46474193698091,0 -73.69257012350738,45.47198806293099,0 -73.68192051029263,45.4636598209964,0 -73.67693075577142,45.48418452273968,0 -73.69225287716206,45.49406728835631,0 -73.69649705484319,45.49293395119828,0 -73.69889042628996,45.49482406681543,0 -73.69939530048133,45.49563570887425,0 -73.69989476294568,45.49661179483432,0 -73.70047926687464,45.49750456233424,0 -73.7009923842262,45.49822682837018,0 -73.70163182364674,45.49884802265885,0 -73.70383211362974,45.50032549852811,0 -73.70518832270768,45.50117716960316,0 -73.70644149929507,45.50181807113938,0 -73.70658760342232,45.50296238283093,0 -73.70855658586095,45.50427406407831,0 -73.70940524156238,45.50477442113943,0 -73.71111038854623,45.50592129968856,0 -73.71321435774252,45.50704583160209,0 -73.71535551647325,45.50837729376136,0 -73.71559752586011,45.5078790819035,0 -73.71565815090463,45.5074890460514,0 -73.71765906196353,45.50577057258448,0 -73.71981730007167,45.50411485471593,0 -73.72125246675751,45.50334711453606,0 -73.72229114293728,45.50305081526958,0 -73.72335904750159,45.50245253342265,0 -73.72413076172902,45.50189412789031,0 -73.72474471378433,45.50143038846703,0 -73.72568121489472,45.50064144245161,0 -73.72599310898595,45.50043653068591,0 -73.72621110812496,45.50039398380807,0 -73.73026053663649,45.50285519177805,0 -73.73190426517883,45.50236707392722,0 -73.73223363953997,45.50266155170613,0 -73.7314189449239,45.50297854470012,0 -73.73058205056798,45.50360966745598,0 -73.73000058161553,45.50399553976924,0 -73.73012086960804,45.50430207715026,0 -73.73031943851518,45.50443580228879,0 -73.73063172437925,45.50453161774201,0 -73.73097981633751,45.5042887752909,0 -73.73118386387053,45.50414315244228,0 -73.73121149873057,45.50393105157396,0 -73.73114916448068,45.50364324121469,0 -73.73169220548039,45.5036841792682,0 -73.73181362694309,45.50357252920141,0 -73.73194158799925,45.50352340163165,0 -73.7321610484936,45.50364607207825,0 -73.7331591212028,45.50432374097319,0 -73.73363293879139,45.50458740860903,0 -73.73414621618612,45.50416059443917,0 -73.73469353488977,45.50427042829417,0 -73.73538095018012,45.50462865383842,0 -73.73577212260997,45.50493201180954,0 -73.73655795572762,45.5054089194126,0 -73.73750326771206,45.50606676992946,0 -73.73864983997792,45.50661781095036,0 -73.73909959305074,45.50678973450015,0 -73.73978470168461,45.50714020413109,0 -73.7402269500227,45.50679174378506,0 -73.7410629786208,45.50590194199243,0 -73.74125031640918,45.50581170031966,0 -73.7430055251091,45.50542733160282,0 -73.74510616952743,45.50563290883466,0 -73.74617007810366,45.50618767525481,0 -73.7479828671657,45.5072847108971,0 -73.74950839814885,45.5087031618897,0 -73.75371840410145,45.50722055637579,0 -73.75485118600356,45.50677683662187,0 -73.75539695579487,45.50661591000078,0 -73.75527367079012,45.50647448895161,0 
69,									-73.74949163663773,45.50876107620641,0 -73.74896399661238,45.50824219890726,0 -73.7478038145031,45.50717148507853,0 -73.74636577326167,45.50626721292655,0 -73.74556465028837,45.50596706000944,0 -73.74489670833808,45.50561101703361,0 -73.74405924962117,45.50551203231932,0 -73.74292738118953,45.50550942801026,0 -73.74203149932976,45.50566033059165,0 -73.74139000375169,45.50582493798699,0 -73.74105707599513,45.50592479131018,0 -73.73975944539878,45.50711277725452,0 -73.73958046988697,45.5072611003374,0 -73.73781181198413,45.50875484423916,0 -73.73716686402449,45.50929124390327,0 -73.73574805352587,45.51019406019067,0 -73.73469321071868,45.50980097002487,0 -73.73433671239246,45.51004481473252,0 -73.73328833891473,45.51078899631285,0 -73.73247704478001,45.51132003725594,0 -73.73171672618301,45.51158903450335,0 -73.73108807888418,45.51164993897567,0 -73.73002060207699,45.51182614732422,0 -73.72919322459545,45.51174312377646,0 -73.72805840489471,45.51188108281521,0 -73.72706811236694,45.51190241243203,0 -73.72660917930908,45.51198398481579,0 -73.72676529733606,45.5130697971071,0 -73.72714060428881,45.51305254283259,0 -73.72758818773212,45.51305362575817,0 -73.72803532959205,45.51306836093897,0 -73.72832714664745,45.51271414557789,0 -73.72896881182415,45.51275952851265,0 -73.72930955753277,45.51255566410026,0 -73.72954024827121,45.51254113222672,0 -73.72998379602989,45.51270819527278,0 -73.7301802466462,45.51288281692616,0 -73.73017381020857,45.51306931041994,0 -73.72965143463334,45.51310279531962,0 -73.72926081893878,45.51346707185859,0 -73.73016692490616,45.51340195347579,0 -73.73063075182085,45.51370853648598,0 -73.73130517442201,45.51414041587034,0 -73.73165663001696,45.51444112751749,0 -73.73298592579883,45.51471849265958,0 -73.7444077304319,45.51057847904274,0 -73.74949163663773,45.50876107620641,0 
65,									-73.73166760314864,45.51444439434457,0 -73.73145835923322,45.51428515083556,0 -73.7312379093233,45.51433222871729,0 -73.73087069818152,45.51438893438753,0 -73.73049210370871,45.51452034466961,0 -73.73005435260204,45.514311029016,0 -73.72905473065072,45.51466252290724,0 -73.72890070092358,45.51470282037495,0 -73.72849874267692,45.51458645987999,0 -73.72803890913394,45.51469578717695,0 -73.72784315959048,45.51478190375318,0 -73.72759938263292,45.51481195424531,0 -73.72758516101419,45.51481190469688,0 -73.72755671648459,45.51481181001351,0 -73.72701574995182,45.51486777435407,0 -73.72660140104405,45.51504185005168,0 -73.72745891105089,45.51671754328946,0 -73.73298581495996,45.51472691379049,0 -73.73166760314864,45.51444439434457,0 
70,									-73.73569535931026,45.51017709867848,0 -73.73612825810498,45.50992059087916,0 -73.73711580206646,45.50931275291428,0 -73.73853674639145,45.50819763028792,0 -73.7397403055181,45.50710951223937,0 -73.73751224671878,45.50606887072183,0 -73.73694305953957,45.50573667535939,0 -73.736373522587,45.50527043246073,0 -73.73585056511477,45.50501007131039,0 -73.73555854768956,45.50467569857362,0 -73.73512080589272,45.50445952571433,0 -73.73462308020746,45.50425605559652,0 -73.73412612664227,45.50418377801222,0 -73.73362609703283,45.50455572798169,0 -73.73316873337299,45.50493101174057,0 -73.73354354467523,45.50511809035766,0 -73.73438777166953,45.50470325411846,0 -73.73512809133078,45.50522255410441,0 -73.7356449331531,45.50544530379582,0 -73.73667061629091,45.50611691119436,0 -73.73656024466659,45.50628510482365,0 -73.7362358268862,45.50664008646441,0 -73.73592781904317,45.50664734658014,0 -73.73529013477977,45.50674000950914,0 -73.73622333161185,45.5072828740225,0 -73.73588717888333,45.50754721269476,0 -73.73543209492566,45.50788393386731,0 -73.73473325391251,45.5084611116184,0 -73.73450435213326,45.50874732808067,0 -73.73477241040439,45.50894287678665,0 -73.73432444778112,45.50929903275205,0 -73.73475862207089,45.50976338997177,0 -73.73569535931026,45.51017709867848,0 
71,									-73.73434910697868,45.50469900098173,0 -73.73354476816965,45.50512903154601,0 -73.73367768536251,45.50552512474018,0 -73.73308095543742,45.5060121667948,0 -73.73362187630468,45.50616937212057,0 -73.73421444150473,45.50651978925588,0 -73.73426881454302,45.50701781788273,0 -73.73349592228736,45.50744931528755,0 -73.73232656746777,45.50814131331882,0 -73.73281494753277,45.5084533152635,0 -73.73254343273266,45.50884378765429,0 -73.73359363260002,45.5096033671022,0 -73.73471706052013,45.50975821353404,0 -73.73432349861113,45.50927848791832,0 -73.73473835756721,45.50895670447378,0 -73.73447728276048,45.50876930189747,0 -73.73620295792576,45.50726298264902,0 -73.73528738717003,45.50676186451653,0 -73.73623391795552,45.50664706685225,0 -73.73663668270895,45.50610744248905,0 -73.73569509463168,45.50550813276657,0 -73.73528574533745,45.50528631797878,0 -73.73525821732495,45.50528119346769,0 -73.73505858211253,45.50521575438987,0 -73.73434910697868,45.50469900098173,0 
72,									-73.73318210470364,45.50767731969631,0 -73.73423459103013,45.50705832792536,0 -73.73420773337271,45.50679771734683,0 -73.73413084728853,45.50650443461329,0 -73.73382784361668,45.50631175121534,0 -73.73358672138706,45.50615671854367,0 -73.733082887319,45.50603846595313,0 -73.73365850246745,45.50551799736154,0 -73.73353088308248,45.50512080516889,0 -73.7331580328692,45.50494849251241,0 -73.73357149649338,45.50455085699464,0 -73.73192344241802,45.50355065125726,0 -73.73166211302278,45.50367385906682,0 -73.731154740755,45.50365399559322,0 -73.73119494263939,45.50416019846526,0 -73.73063985675286,45.50451897018692,0 -73.73045405103724,45.50447480338569,0 -73.73020039986757,45.50434500916735,0 -73.72998533380432,45.50401356071549,0 -73.73140354432718,45.50298933571551,0 -73.73222887214817,45.50264683636404,0 -73.73189984837859,45.50239446023195,0 -73.72942869489151,45.50394889443846,0 -73.72815457286653,45.50368188764551,0 -73.72725560944085,45.50443456018757,0 -73.7257757471999,45.50588557773376,0 -73.72663399009623,45.50641523159922,0 -73.72729769199144,45.50591459672489,0 -73.72854102542769,45.50482607619759,0 -73.73045696322124,45.50625104850814,0 -73.73118497741248,45.50712171125476,0 -73.73159617871865,45.5076445334822,0 -73.73233374156587,45.50815488744441,0 -73.73318210470364,45.50767731969631,0 
67,									-73.73471028194859,45.50975042189015,0 -73.73355847949843,45.50965664438974,0 -73.73260475916618,45.51028929554068,0 -73.73157838430514,45.51097261220002,0 -73.73089739639696,45.51105931762019,0 -73.72682395233701,45.5113673968561,0 -73.7228610623738,45.51145768539724,0 -73.72210839423231,45.51156672943181,0 -73.72070157867232,45.51205234682299,0 -73.71910335814619,45.51322102078539,0 -73.71733204529645,45.51463982887366,0 -73.71398981703067,45.51709941130205,0 -73.71185800233397,45.51846798700876,0 -73.70906809726621,45.52013787724528,0 -73.7079090897972,45.52068302321065,0 -73.70759358895869,45.52211200290847,0 -73.70921031479296,45.52140431241524,0 -73.71047021742268,45.52052160812114,0 -73.71092199725182,45.5201346666847,0 -73.71167676318997,45.51979829429933,0 -73.71251823835105,45.51942814678726,0 -73.71309264957563,45.51903224679752,0 -73.71460933028061,45.51847816336122,0 -73.71586408495367,45.51780240802904,0 -73.7163477070017,45.51750714055677,0 -73.71717821831292,45.5168643082127,0 -73.72016814160445,45.51398227664529,0 -73.72132693082126,45.51490220961311,0 -73.72341289679632,45.51614992268222,0 -73.72362350637242,45.51592101600974,0 -73.72225571472195,45.51504134472768,0 -73.72269005135962,45.51489364183367,0 -73.7232352878542,45.51513895776758,0 -73.72346076080575,45.51525074049665,0 -73.72374474932386,45.51532222768474,0 -73.72404320471246,45.51518337064613,0 -73.72420670847924,45.51499679630574,0 -73.72486190180206,45.5143582828339,0 -73.72487902653786,45.51410471157981,0 -73.72424872812866,45.51380404346982,0 -73.72384520442454,45.51343412930133,0 -73.72325761435248,45.51275685185516,0 -73.72369660853903,45.51283551908629,0 -73.72422133239965,45.51285212710816,0 -73.72426916470522,45.51285223537803,0 -73.72433747514577,45.51285746541068,0 -73.72495298595571,45.51285844738749,0 -73.7258146741369,45.51281416809189,0 -73.72637049109896,45.51280050869247,0 -73.7266962392892,45.5128218107453,0 -73.72662092646711,45.51200808614316,0 -73.72765696743136,45.51189857265927,0 -73.7283737110664,45.5118727635293,0 -73.72983515880145,45.51180188346883,0 -73.73025814222021,45.51177563203285,0 -73.73170037046187,45.51158625243635,0 -73.7325559056718,45.51132612951587,0 -73.73422643445542,45.51011566025797,0 -73.73471028194859,45.50975042189015,0 
68,									-73.72469804081503,45.51355088265731,0 -73.72535205772824,45.51347415228283,0 -73.72578724655534,45.51352481661267,0 -73.727081666071,45.51346442718184,0 -73.72771225430925,45.5134367181298,0 -73.72834181219913,45.51340981926519,0 -73.72868408120745,45.51352291329023,0 -73.72897846184758,45.51373576301921,0 -73.72925060789362,45.51411017571942,0 -73.72952892501711,45.51447790358792,0 -73.73004152152024,45.51432493656562,0 -73.73047509261187,45.51451489676565,0 -73.73144170378488,45.51427601487789,0 -73.73015350971895,45.5134220804928,0 -73.72928957651183,45.51344755278275,0 -73.72964404666242,45.51316152340044,0 -73.73009805825363,45.51308648646014,0 -73.73017170257467,45.51300573336658,0 -73.73006583076067,45.51278752935048,0 -73.72973298570031,45.51258223141306,0 -73.72943279325047,45.51255269875927,0 -73.72896922016913,45.51279572920382,0 -73.7283039396377,45.51274075641022,0 -73.72805879412138,45.51304893507437,0 -73.72682170604499,45.51307115145552,0 -73.72671308168783,45.51284373956376,0 -73.72326693238068,45.5127815078436,0 -73.72400908203974,45.51358631207727,0 -73.72469804081503,45.51355088265731,0 
66,									-73.72742201758332,45.51671181081083,0 -73.72659232519474,45.51509514861606,0 -73.72764672290835,45.51482217943372,0 -73.72786061869488,45.51476939249264,0 -73.72848940071077,45.51459100492075,0 -73.72889383992009,45.5146897707997,0 -73.72952923793012,45.51445986157069,0 -73.72915911444085,45.51401256126915,0 -73.72894775356166,45.51373727384268,0 -73.7287501761944,45.51358732844722,0 -73.72841289788241,45.51340294304593,0 -73.72770408046046,45.51341982150916,0 -73.72712325831992,45.51344395139375,0 -73.72667888126185,45.51350589257296,0 -73.72615285378306,45.5135041422997,0 -73.72579081692122,45.51350907842969,0 -73.7253965239026,45.51348263479235,0 -73.72491675038148,45.5135449637805,0 -73.72432060394063,45.51354416516215,0 -73.72399660100196,45.5136139270835,0 -73.72486571462231,45.51408160972233,0 -73.72480635578583,45.51436475559078,0 -73.72376332307208,45.51529803775262,0 -73.72267561973904,45.51493272510484,0 -73.72227362179044,45.51505897888932,0 -73.72359513399795,45.51594092806276,0 -73.72385902598438,45.51615471572263,0 -73.72481979237404,45.5167389905608,0 -73.72597512813283,45.51723388483419,0 -73.72742201758332,45.51671181081083,0 
80,									-73.71011315526549,45.51952113164133,0 -73.7143117621273,45.51687199660677,0 -73.71647279102238,45.51527530393565,0 -73.71905780302561,45.5132888616299,0 -73.71825392803028,45.51277387907449,0 -73.71782483198963,45.51225320332165,0 -73.7172289813697,45.51148814343219,0 -73.71619555926358,45.51221845848509,0 -73.7151337867729,45.51154455435726,0 -73.71457956659162,45.51193293012758,0 -73.71368008868232,45.51257548710119,0 -73.71293054805454,45.51300949804927,0 -73.71209518420037,45.51241694305307,0 -73.71296896353265,45.51244654911235,0 -73.71415770883786,45.51149183104315,0 -73.71421308698757,45.51152539138995,0 -73.71313608669585,45.51090529316058,0 -73.71257248153708,45.51130671415537,0 -73.71172859604097,45.5111891370561,0 -73.71094373268188,45.51071078282639,0 -73.71007827943221,45.51139976345218,0 -73.70964504161522,45.51114643372556,0 -73.70922650677602,45.51094199248387,0 -73.70888441176342,45.51108519986509,0 -73.70821422493707,45.51163051375661,0 -73.7097874758659,45.51263334400451,0 -73.71058982014404,45.51233289166378,0 -73.71117513744153,45.51219853108775,0 -73.71192836343462,45.51267622365731,0 -73.71219541430456,45.51335265181739,0 -73.71180367173807,45.51397806451596,0 -73.71103423429905,45.51444708972105,0 -73.71005882401606,45.51497588194321,0 -73.70919641614093,45.51579169793162,0 -73.70795782464222,45.5206199680339,0 -73.71011315526549,45.51952113164133,0 
78,									-73.71006394775809,45.51137624245355,0 -73.71092121743527,45.51071466324257,0 -73.71122920880418,45.51076922584904,0 -73.71149154367794,45.51071337392749,0 -73.71176282117956,45.51060187217814,0 -73.71263163598358,45.50988742929233,0 -73.71292974282697,45.50971355185613,0 -73.7133944117376,45.50935013910718,0 -73.71415956947857,45.50872498905142,0 -73.71444281699779,45.50845082626046,0 -73.71452685088872,45.50828105530981,0 -73.71481273852542,45.50805708449426,0 -73.71387928230568,45.50746252256754,0 -73.71295475921511,45.50803337470537,0 -73.71276652834911,45.50836436879619,0 -73.71250255589192,45.50852943734562,0 -73.71267382202748,45.50881387847218,0 -73.71279391751237,45.50888710804318,0 -73.71190652543751,45.50950622349457,0 -73.71154781866365,45.50937766807954,0 -73.71101806491458,45.50968052324146,0 -73.7107246339236,45.5094483173801,0 -73.71037515629054,45.50976302312096,0 -73.71067709961518,45.51006486990733,0 -73.7092303050357,45.51092928781271,0 -73.71006394775809,45.51137624245355,0 
79,									-73.71430311086046,45.51150222602617,0 -73.71508664777011,45.51095661980119,0 -73.71622814845485,45.50995512923187,0 -73.71673766296962,45.50976631402136,0 -73.71607793414138,45.50942572620446,0 -73.71570122223346,45.50955004501368,0 -73.71540321488452,45.50935509702357,0 -73.71504866207144,45.50932908663345,0 -73.7145664685482,45.50961759591994,0 -73.71395969959589,45.51017838745472,0 -73.7136104341006,45.50994291597428,0 -73.7130754713945,45.5096754871979,0 -73.71269390402901,45.50985256635343,0 -73.71232418709371,45.51019514665692,0 -73.711891530578,45.51053567154636,0 -73.71159339871757,45.5106883259377,0 -73.71101252597093,45.51074740330027,0 -73.71173211166483,45.51117820120549,0 -73.71257856643166,45.51129426149565,0 -73.71313162101181,45.51091198042087,0 -73.71423218098741,45.51150273729294,0 -73.71430311086046,45.51150222602617,0 
76,									-73.71511325626867,45.51159607974232,0 -73.71616457363315,45.51219898844119,0 -73.71720181370037,45.51156463827668,0 -73.7176743538882,45.51206272786104,0 -73.71805173478127,45.51258637433738,0 -73.71899032360905,45.51327005379716,0 -73.72061627540789,45.51206605063629,0 -73.72140754988851,45.51179368985039,0 -73.72234126895721,45.51156351541098,0 -73.72280680336165,45.51145023205836,0 -73.7249981025962,45.51137738252624,0 -73.72773173601392,45.51134166022484,0 -73.73158817180708,45.51095916754362,0 -73.73350046366575,45.50965326400797,0 -73.73317270945597,45.50937228413108,0 -73.73245661317085,45.50881321526791,0 -73.73274027381584,45.50844428742821,0 -73.73234870275918,45.50820025203005,0 -73.73166366913627,45.50870060418087,0 -73.73122133878655,45.50848959287678,0 -73.73075203587158,45.50886737551665,0 -73.73034843695073,45.50912896611555,0 -73.7273081025226,45.50925545160749,0 -73.7263874119069,45.50923500124443,0 -73.7262476097615,45.50890016211396,0 -73.72696084561147,45.50886847016749,0 -73.72807904500348,45.508806649471,0 -73.7281095595454,45.50842143863816,0 -73.72772831790326,45.50755849021151,0 -73.72741825437632,45.50713617680837,0 -73.72642020084685,45.50680114907066,0 -73.72624370652864,45.50698123985969,0 -73.7257654149097,45.50744422516617,0 -73.72524249049202,45.5080507249109,0 -73.72580958595179,45.5085714975116,0 -73.72339414891779,45.50853573920385,0 -73.72275171484317,45.50851618055715,0 -73.72299264328792,45.50822424917909,0 -73.72199556583412,45.50763550248772,0 -73.72092067196765,45.5068996205184,0 -73.71984724065032,45.50638129780502,0 -73.7194934658195,45.506702982848,0 -73.71875311494739,45.50741911310193,0 -73.71842905645742,45.50773244884521,0 -73.71868778507547,45.50833050192292,0 -73.71764758114489,45.50913953053244,0 -73.7172377347032,45.50949013559949,0 -73.71574817208634,45.50868343865972,0 -73.71550080822216,45.50886250497681,0 -73.71506162150807,45.50877360959115,0 -73.71675250079032,45.50976404355428,0 -73.71622295599985,45.50998240686857,0 -73.71420949028261,45.5115161689945,0 -73.71302371047776,45.51244113997674,0 -73.71217463889066,45.51247189970107,0 -73.71294100206697,45.51295334283543,0 -73.71511325626867,45.51159607974232,0 
